timestamp,ct_clamp,hall1,hall2,state,elapsed_time
2025-12-24T23:32:37.726929,,,,Off,0.128
2025-12-24T23:32:37.918187,,0.566,,Off,0.319
2025-12-24T23:32:38.190533,,0.566,0.572,Off,0.591
2025-12-24T23:32:38.349174,0.079,0.566,0.572,Off,0.750
2025-12-24T23:32:38.493162,0.079,0.561,0.572,Off,0.894
2025-12-24T23:32:38.763398,0.079,0.561,0.563,Off,1.164
2025-12-24T23:32:38.891546,0.078,0.561,0.563,Off,1.292
2025-12-24T23:32:39.112674,0.078,0.563,0.563,Off,1.514
2025-12-24T23:32:39.405785,0.078,0.563,0.559,Off,1.807
2025-12-24T23:32:39.685031,0.082,0.545,0.559,Off,2.086
2025-12-24T23:32:39.961452,0.082,0.545,0.569,Off,2.362
2025-12-24T23:32:40.105646,0.081,0.545,0.569,Off,2.507
2025-12-24T23:32:40.249355,0.081,0.551,0.569,Off,2.650
2025-12-24T23:32:40.531681,0.081,0.551,0.569,Off,2.933
2025-12-24T23:32:40.662026,0.081,0.551,0.569,Off,3.063
2025-12-24T23:32:40.794725,0.081,0.55,0.569,Off,3.196
2025-12-24T23:32:41.126139,0.081,0.55,0.569,Off,3.527
2025-12-24T23:32:41.268698,0.079,0.55,0.569,Cooling,3.670
2025-12-24T23:32:41.488686,0.079,0.556,0.569,Cooling,3.890
2025-12-24T23:32:41.699306,0.079,0.556,0.555,Cooling,4.100
2025-12-24T23:32:41.826298,0.083,0.556,0.555,Cooling,4.227
2025-12-24T23:32:41.984019,0.083,0.572,0.555,Cooling,4.385
2025-12-24T23:32:42.237314,0.083,0.572,0.571,Cooling,4.638
2025-12-24T23:32:42.451391,0.077,0.572,0.571,Cooling,4.852
2025-12-24T23:32:42.583504,0.077,0.566,0.571,Cooling,4.984
2025-12-24T23:32:42.889010,0.077,0.566,0.572,Cooling,5.290
2025-12-24T23:32:43.031445,0.079,0.566,0.572,Cooling,5.432
2025-12-24T23:32:43.475466,0.079,0.569,0.577,Cooling,5.876
2025-12-24T23:32:43.593153,0.08,0.569,0.577,Cooling,5.994
2025-12-24T23:32:43.729142,0.08,0.573,0.577,Cooling,6.130
2025-12-24T23:32:44.047893,0.08,0.573,0.581,Cooling,6.449
2025-12-24T23:32:44.175272,0.08,0.573,0.581,Cooling,6.576
2025-12-24T23:32:44.373986,0.08,0.566,0.581,Wash,6.775
2025-12-24T23:32:44.574439,0.08,0.566,0.578,Wash,6.975
2025-12-24T23:32:44.793948,0.079,0.566,0.578,Wash,7.195
2025-12-24T23:32:44.971361,0.079,0.545,0.578,Wash,7.372
2025-12-24T23:32:45.175239,0.079,0.545,0.576,Wash,7.576
2025-12-24T23:32:45.370170,0.079,0.545,0.576,Wash,7.771
2025-12-24T23:32:45.512705,0.079,0.567,0.576,Wash,7.914
2025-12-24T23:32:45.784664,0.079,0.567,0.59,Wash,8.186
2025-12-24T23:32:46.021326,0.082,0.567,0.59,On,8.422
2025-12-24T23:32:46.418587,0.082,0.567,0.576,On,8.820
2025-12-24T23:32:46.553639,0.08,0.567,0.576,On,8.955
2025-12-24T23:32:46.685579,0.08,0.558,0.576,On,9.087
2025-12-24T23:32:46.949973,0.08,0.558,0.563,On,9.351
2025-12-24T23:32:47.129523,0.082,0.558,0.563,On,9.530
2025-12-24T23:32:47.322871,0.082,0.554,0.563,On,9.724
2025-12-24T23:32:47.502252,0.082,0.554,0.565,On,9.903
2025-12-24T23:32:47.706602,0.083,0.554,0.565,On,10.108
2025-12-24T23:32:47.830565,0.083,0.567,0.565,On,10.231
2025-12-24T23:32:48.142855,0.083,0.567,0.569,On,10.544
2025-12-24T23:32:48.336848,0.078,0.567,0.569,On,10.738
2025-12-24T23:32:49.438659,0.079,0.566,0.576,On,11.840
2025-12-24T23:32:50.446662,0.08,0.563,0.584,On,12.848
2025-12-24T23:32:51.666874,0.082,0.551,0.57,On,14.068
2025-12-24T23:32:52.835665,0.082,0.565,0.579,On,15.237
2025-12-24T23:32:53.966770,0.084,0.604,0.564,On,16.368
2025-12-24T23:32:55.019631,0.078,0.577,0.572,On,17.421
2025-12-24T23:32:56.035391,0.078,0.559,0.585,On,18.436
2025-12-24T23:32:56.877366,0.082,0.562,0.572,On,19.278
2025-12-24T23:32:57.084837,0.083,0.562,0.572,On,19.486
2025-12-24T23:32:57.231308,0.083,0.566,0.572,On,19.632
2025-12-24T23:32:57.517972,0.083,0.566,0.573,On,19.919
2025-12-24T23:32:57.662154,0.08,0.566,0.573,On,20.063
2025-12-24T23:32:57.803434,0.08,0.574,0.573,On,20.204
2025-12-24T23:32:58.094905,0.08,0.574,0.564,On,20.496
2025-12-24T23:32:58.236265,0.075,0.574,0.564,On,20.637
2025-12-24T23:32:58.376970,0.075,0.566,0.564,On,20.778
2025-12-24T23:32:58.656382,0.075,0.566,0.564,On,21.057
2025-12-24T23:32:58.795928,0.078,0.566,0.564,On,21.197
2025-12-24T23:32:58.987298,0.078,0.56,0.564,On,21.388
2025-12-24T23:32:59.202999,0.078,0.56,0.565,On,21.604
2025-12-24T23:32:59.340819,0.078,0.56,0.565,On,21.742
2025-12-24T23:32:59.609618,0.076,0.554,0.565,On,22.011
2025-12-24T23:32:59.873858,0.076,0.554,0.572,On,22.275
2025-12-24T23:33:00.005158,0.076,0.554,0.572,On,22.406
2025-12-24T23:33:00.145691,0.076,0.56,0.572,On,22.547
2025-12-24T23:33:00.446858,0.076,0.56,0.579,On,22.848
2025-12-24T23:33:00.578943,0.079,0.56,0.579,On,22.980
2025-12-24T23:33:00.721804,0.079,0.561,0.579,On,23.123
2025-12-24T23:33:01.044216,0.079,0.561,0.574,On,23.445
2025-12-24T23:33:01.171161,0.081,0.561,0.574,On,23.572
2025-12-24T23:33:01.370123,0.081,0.545,0.574,On,23.771
2025-12-24T23:33:01.553826,0.081,0.545,0.562,On,23.955
2025-12-24T23:33:01.756072,0.08,0.545,0.562,On,24.157
2025-12-24T23:33:01.952652,0.08,0.551,0.562,On,24.354
2025-12-24T23:33:02.167787,0.08,0.551,0.56,On,24.569
2025-12-24T23:33:02.367339,0.081,0.551,0.56,On,24.768
2025-12-24T23:33:02.783815,0.081,0.567,0.568,On,25.185
2025-12-24T23:33:02.929023,0.08,0.567,0.568,On,25.330
2025-12-24T23:33:03.086359,0.08,0.558,0.568,On,25.487
2025-12-24T23:33:03.373844,0.08,0.558,0.571,On,25.775
2025-12-24T23:33:03.517007,0.08,0.558,0.571,On,25.918
2025-12-24T23:33:03.644693,0.08,0.579,0.571,On,26.046
